Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid
What is RA–FSM?,"RA–FSM is a modular, GPT-based research assistant that uses a finite-state control loop (Relevance → Confidence → Knowledge) to produce grounded, auditable answers with deterministic citations.",4.35,3.995,"RA–FSM is a retrieval assistant that utilizes a finite-state machine (FSM) to manage a retrieval loop, coupled with a deterministic citation pipeline and a domain-aware ingestion layer. It aims to improve citation fidelity, calibration, and cost discipline for scientific assistance. The system is designed to be auditable and cost-aware, addressing challenges such as overconfidence in raw scores and providing reliable self-assessments. It is particularly focused on enhancing the quality of scientific assistance through structured approaches to information retrieval and citation [source: data\RA_FSM_Paper 2.pdf].","RA–FSM is a finite-state machine (FSM) that serves as a practical assistant for interactive research. It incorporates a gated retrieval loop and a deterministic citation pipeline, along with a domain-aware ingestion layer. This system is designed to be auditable, cost-aware, and citation-faithful, helping to orchestrate tools while addressing issues like poorly calibrated confidence and the potential for non-terminating loops in contemporary agents [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What problem does RA–FSM aim to solve?,It mitigates hallucinations and citation fabrication in large language models used for scientific research.,2.98,4.053,"RA–FSM aims to solve issues related to citation fidelity, calibration, and cost discipline in scientific assistance. It addresses the challenges of overconfidence in raw scores and the need for reliable self-assessments in the context of language models, particularly in providing accurate and trustworthy information for research assistance [source: data\RA_FSM_Paper 2.pdf].","RA–FSM aims to solve issues related to citation fidelity, calibration, and cost discipline in scientific assistance. It addresses the challenges of overconfidence in raw scores, miscalibrated confidence, and the tendency to cite sources that were not retrieved. The system is designed to provide more reliable answers and improve the quality of self-assessments while ensuring transparency and auditability in high-stakes technical work [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What are the three core states of the RA–FSM control loop?,"The three states are Relevance, Confidence, and Knowledge.",4.471,3.176,"The three core states of the RA–FSM control loop are:

1. Relevance Check
2. Confidence Check
3. Question Decomposition

These states are part of the process for assessing user queries and determining the appropriate actions for retrieval and answer generation [source: data\RA_FSM_Paper 2.pdf].","The three core states of the RA–FSM control loop are Relevance, Confidence, and Knowledge [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What does the Relevance state do?,It checks if the user's question is within the agent's domain of expertise.,1.812,4.06,Relevant : Yes,Relevant : No,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the function of the Confidence state?,It assesses whether the system can answer a question confidently based on its internal context.,3.264,5.462,"The function of the Confidence Check state is to estimate the system's confidence in producing an answer. If the system is confident, it proceeds to provide an answer. If it is not confident, it transitions to the Decomposition state to split the query into sub-questions for targeted retrieval [source: data\RA_FSM_Paper 2.pdf].","The Confidence state, also referred to as the Confidence Check, serves to suppress low-certainty answers and routes uncertain queries into decomposition and retrieval processes rather than emitting speculative text. It evaluates whether the agent has sufficient internal knowledge to answer the question with high certainty, labeling the confidence level as low, medium, or high. When the confidence is low, the system may decompose the query or expand retrieval before providing a final answer [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What role does the Knowledge state play?,"It retrieves external information, synthesizes answers, and appends citations.",2.681,2.84,The Knowledge state is responsible for generating the final answer using retrieved context with citations. It composes the final answer based on the information gathered during the previous states of the finite-state machine (FSM) process. This state is crucial for ensuring that the answer is informed by relevant evidence and properly cited. [source: data\RA_FSM_Paper 2.pdf],The Knowledge state in the FSM (Finite-State Monitor) consumes the user question along with the top-k retrieved chunks and produces an answer with citations under the selected reasoning prompt scaffold. It is responsible for generating the final response based on the retrieved context [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is meant by 'deterministic citation'?,"It means only sources actually retrieved in the session can be cited, ensuring citation fidelity.",3.054,2.62,"'Deterministic citation' refers to a closed-world citation policy where the final answer can only cite (doc id, span id) pairs that are present in the session evidence table. This ensures that all citations are based on verified evidence retrieved during the session, enhancing the reliability and auditability of the information provided [source: data\RA_FSM_Paper 2.pdf].","'Deterministic citation' refers to a closed-world citation policy where the final answer can only cite specific (doc id, span id) pairs that are present in the session evidence table. This means that citations are strictly controlled and only include those that have been previously verified and stored in the system, ensuring accuracy and reliability in the references used [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the goal of the FSM controller in RA–FSM?,"To reduce over-reasoning, control costs, and align responses with grounded evidence.",3.347,3.322,"The goal of the FSM controller in RA–FSM is to provide a structured framework that governs the agent’s reasoning and retrieval behavior, ensuring that the assistant is auditable, cost-aware, and citation-faithful. It introduces explicit transition guards and retry budgets to enhance the reliability and performance of the system, particularly in managing confidence and citation fidelity [source: data\RA_FSM_Paper 2.pdf].","The goal of the FSM controller in RA–FSM is to govern the agent’s own reasoning and retrieval behavior, balancing autonomy with transparency. It aims to facilitate causal/analytical reasoning, fact retrieval with citation fidelity, and multi-step synthesis/design, while ensuring that each question is self-contained and phrased in domain language familiar to practitioners in the field [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How many tiers of data sources does RA–FSM use?,"Five tiers, ranging from top journals to patents.",1.591,5.616,The context does not specify the number of tiers of data sources used by RA–FSM. I don't know.,RA–FSM uses five tiers of data sources [source:A.6].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What are the Tier-1 sources in the ingestion pipeline?,"IEEE Xplore, Optica/OSA, and Nature Portfolio.",2.858,6.665,"The Tier-1 sources in the ingestion pipeline are IEEE Xplore, Optica/OSA, and Nature Portfolio [source: data\RA_FSM_Paper 2.pdf].","The Tier-1 sources in the ingestion pipeline are IEEE Xplore, Optica/OSA, and Nature Portfolio [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
