,Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid,s0,s1,quality0,quality1
0,What is RA–FSM?,"RA–FSM is a modular, GPT-based research assistant that uses a finite-state control loop (Relevance → Confidence → Knowledge) to produce grounded, auditable answers with deterministic citations.",3.988,3.24,"RA–FSM is a retrieval assistant that utilizes a finite-state machine (FSM) to manage a retrieval loop, coupled with a deterministic citation pipeline and a domain-aware ingestion layer. It aims to improve citation fidelity, calibration, and cost discipline for scientific assistance. The system is designed to be auditable and cost-aware, addressing challenges such as overconfidence in raw scores and providing reliable self-assessments. It is particularly focused on enhancing the quality of scientific assistance through structured approaches to information retrieval and citation [source: data\RA_FSM_Paper 2.pdf].","RA–FSM refers to a system designed for interactive research assistance that utilizes a confidence-driven retrieval mechanism. It decomposes queries into subtopics, evaluates confidence levels, and retrieves relevant information to provide answers. The system aims to improve the reliability of answers and self-assessments while maintaining efficiency in response times and costs [source:data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.18352998523713332,0.14923526848806937
1,What problem does RA–FSM aim to solve?,It mitigates hallucinations and citation fabrication in large language models used for scientific research.,3.148,5.754,"RA–FSM aims to solve issues related to citation fidelity, calibration, and cost discipline in scientific assistance. It addresses the challenges of overconfidence in raw scores, improves the reliability of outputs, and enhances self-assessments through a structured approach using finite-state machines (FSMs) and deterministic citations [source: data\RA_FSM_Paper 2.pdf].","RA–FSM aims to improve citation fidelity, calibration, and cost discipline for scientific assistance, particularly in the context of retrieving and synthesizing information from various sources in a structured manner. It addresses challenges in generating reliable and novel outputs while managing the efficiency of information retrieval, especially in the field of photonics [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.15923229953482249,0.19661073669523674
2,What are the three core states of the RA–FSM control loop?,"The three states are Relevance, Confidence, and Knowledge.",3.362,1.602,"The three core states of the RA–FSM control loop are:

1. Relevance Check
2. Confidence Check
3. Question Decomposition

These states are part of the process for assessing user queries and determining the appropriate actions for retrieval and answer generation [source: data\RA_FSM_Paper 2.pdf].","The three core states of the RA–FSM control loop are Relevance, Confidence, and Knowledge [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.4336322860404601,0.5737880514979782
3,What does the Relevance state do?,It checks if the user's question is within the agent's domain of expertise.,1.411,2.697,Relevant : Yes,"The Relevance state determines whether the user's question is strictly within the domain of the given relevant domain summaries. It responds with either ""Relevant: Yes"" or ""Relevant: No"" based on the assessment of relevance, using a mean similarity score for evaluation [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.0,0.4110057583246658
4,What is the function of the Confidence state?,It assesses whether the system can answer a question confidently based on its internal context.,3.159,2.935,"The function of the Confidence Check state is to estimate the system's confidence in producing an answer. If the system is confident, it proceeds to provide an answer. If it is not confident, it transitions to the decomposition of the query to gather more information before attempting to answer [source: data\RA_FSM_Paper 2.pdf].","The Confidence state, also referred to as the Confidence judge, evaluates the internal knowledge of the system to determine whether it has sufficient information to answer the user question with high certainty. It assigns a confidence label of low, medium, or high, and if the confidence is low, the system may decompose the query or expand retrieval before proceeding to the final answer generation step [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.20006645767329428,0.24556420512503402
5,What role does the Knowledge state play?,"It retrieves external information, synthesizes answers, and appends citations.",2.662,2.389,The Knowledge state is responsible for generating the final answer using retrieved context with citations. It composes the final answer based on the information gathered during the previous states of the finite-state machine (FSM) process. This state is crucial for ensuring that the answer is informed by relevant evidence and properly cited. [source: data\RA_FSM_Paper 2.pdf],The Knowledge state consumes the user question along with the top-k retrieved chunks and produces an answer with citations under the selected reasoning prompt scaffold. It is responsible for generating the final answer based on the retrieved context [source: data\RA_FSM_Paper 2.pdf].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.07002907418904282,0.06331767160329242
6,What is meant by 'deterministic citation'?,"It means only sources actually retrieved in the session can be cited, ensuring citation fidelity.",3.577,1.401,"'Deterministic citation' refers to a closed-world citation policy where the final answer can only cite (doc id, span id) pairs that are present in the session evidence table. This ensures that all citations are based on verified evidence retrieved during the session, enhancing the reliability and auditability of the information provided [source: data\RA_FSM_Paper 2.pdf].",I don't know.,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,1,0.23364373323059565,0.0
7,What is the goal of the FSM controller in RA–FSM?,"To reduce over-reasoning, control costs, and align responses with grounded evidence.",3.48,2.953,"The goal of the FSM controller in RA–FSM is to provide a structured framework that governs the agent’s reasoning and retrieval behavior, ensuring that the assistant is auditable, cost-aware, and citation-faithful. It introduces explicit transition guards and retry budgets to enhance the reliability and performance of the system, particularly in managing citation fidelity and confidence in the information retrieved [source: data\RA_FSM_Paper 2.pdf].","The goal of the FSM controller in RA–FSM is to govern the control logic of the research assistant agent, enabling it to iteratively assess, refine, and respond to user queries in a structured and self-aware manner. It also allows for the optional extension of the agent's long-term knowledge through contextual ingestion, while balancing autonomy with transparency and managing resource consumption effectively [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.10944194814061985,0.12026219258215372
8,How many tiers of data sources does RA–FSM use?,"Five tiers, ranging from top journals to patents.",1.78,1.919,The context does not specify the number of tiers of data sources used by RA–FSM. I don't know.,RA–FSM uses five tiers of data sources [source:A.6].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.039844303661726206,0.1350734836708713
9,What are the Tier-1 sources in the ingestion pipeline?,"IEEE Xplore, Optica/OSA, and Nature Portfolio.",1.947,1.813,"The Tier-1 sources in the ingestion pipeline are IEEE Xplore, Optica/OSA, and Nature Portfolio [source: data\RA_FSM_Paper 2.pdf].","The Tier-1 sources in the ingestion pipeline are IEEE Xplore, Optica/OSA, and Nature Portfolio [source:A.6].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,0,0,0.44943641652398214,0.4936184472649205
