Question,Answer,t_dense,t_hybrid,ans_dense,ans_hybrid,src_dense,src_hybrid
What is RA–FSM?,"RA–FSM is a modular, GPT-based research assistant that uses a finite-state control loop (Relevance → Confidence → Knowledge) to produce grounded, auditable answers with deterministic citations.",3.708,3.324,"RA–FSM is a retrieval assistant that utilizes a finite-state machine (FSM) to manage a retrieval loop, coupled with a deterministic citation pipeline and a domain-aware ingestion layer. It aims to improve citation fidelity, calibration, and cost discipline for scientific assistance. The system is designed to be auditable and cost-aware, addressing issues such as overconfidence in raw scores and providing reliable self-assessments. It is particularly focused on enhancing the quality of scientific assistance through structured approaches to information retrieval and citation [source: data\RA_FSM_Paper 2.pdf].","RA–FSM is a finite-state machine (FSM) designed for retrieval-augmented generation (RAG) systems. It incorporates a structured approach with explicit transition guards and retry budgets to create a practical assistant that is auditable, cost-aware, and citation-faithful. RA–FSM operates by decomposing queries into subtopics, performing online searches to retrieve relevant information, and generating answers based on the retrieved context while ensuring proper citation of sources [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What problem does RA–FSM aim to solve?,It mitigates hallucinations and citation fabrication in large language models used for scientific research.,4.296,2.959,"RA–FSM aims to solve issues related to citation fidelity, calibration, and cost discipline in scientific assistance. It addresses shortcomings in retrieval-augmented generation (RAG) systems by embedding components into a confidence-driven finite-state machine (FSM) framework, which enhances the reliability of outputs and self-assessments while maintaining efficiency and cost-effectiveness [source: data\RA_FSM_Paper 2.pdf].","RA–FSM aims to solve issues related to citation fidelity, confidence calibration, and cost discipline in scientific assistance. It addresses the challenges of overthinking, miscalibrated confidence, and the citation of sources that were not retrieved, thereby improving the reliability and transparency of answers provided by retrieval-augmented generation systems [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What are the three core states of the RA–FSM control loop?,"The three states are Relevance, Confidence, and Knowledge.",3.334,3.203,"The three core states of the RA–FSM control loop are:

1. Relevance Check
2. Confidence Check
3. Question Decomposition

These states are part of the process for assessing user queries and determining the appropriate actions for retrieval and answer generation [source: data\RA_FSM_Paper 2.pdf].","The three core states of the RA–FSM control loop are Relevance Check, Confidence Check, and Knowledge stage [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What does the Relevance state do?,It checks if the user's question is within the agent's domain of expertise.,4.467,1.954,Relevant : Yes,Relevant : Yes,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the function of the Confidence state?,It assesses whether the system can answer a question confidently based on its internal context.,3.05,2.709,"The function of the Confidence Check state is to estimate the system's confidence in producing an answer. If the system is confident, it proceeds to provide an answer. If it is not confident, it transitions to the decomposition of the query to gather more information before attempting to answer [source: data\RA_FSM_Paper 2.pdf].","The Confidence state estimates the system's confidence in producing an answer. If the confidence is deemed high, the system proceeds to the Answer state. If the confidence is low, the system may decompose the query or expand retrieval before moving to the final step [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What role does the Knowledge state play?,"It retrieves external information, synthesizes answers, and appends citations.",2.985,3.024,"The Knowledge state is responsible for generating the final answer using retrieved context and citations. It composes the final answer based on the evidence gathered during the process, ensuring that the response is informed by the relevant information retrieved earlier in the system's workflow [source: data\RA_FSM_Paper 2.pdf].","The Knowledge state, handled by the GPT o3 model, identifies knowledge gaps by formulating clarifying sub-questions and executing web searches to retrieve and contextualize external information. This state is crucial for ensuring that the system has sufficient information to provide accurate answers to user queries [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is meant by 'deterministic citation'?,"It means only sources actually retrieved in the session can be cited, ensuring citation fidelity.",3.675,3.726,"'Deterministic citation' refers to a closed-world citation policy where the final answer can only cite (doc id, span id) pairs that are present in the session evidence table. This ensures that all citations are based on verified evidence retrieved during the session, enhancing the reliability and auditability of the information provided [source: data\RA_FSM_Paper 2.pdf].","'Deterministic citation' refers to a closed-world citation policy where the final answer can only cite (doc id, span id) pairs that are present in the session evidence table. This ensures that all citations are based on verified evidence retrieved during the session, enhancing the reliability and auditability of the information provided [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What is the goal of the FSM controller in RA–FSM?,"To reduce over-reasoning, control costs, and align responses with grounded evidence.",3.804,3.729,"The goal of the FSM controller in RA–FSM is to provide a structured framework that governs the agent’s reasoning and retrieval behavior, ensuring that the assistant is auditable, cost-aware, and citation-faithful. It introduces explicit transition guards and retry budgets to enhance the reliability and performance of the system, particularly in managing citation fidelity and confidence in the outputs [source: data\RA_FSM_Paper 2.pdf].","The goal of the FSM controller in RA–FSM is to govern the agent’s own reasoning and retrieval behavior, ensuring a structured control loop that checks question relevance, estimates confidence, decomposes queries, retrieves external information, answers questions, and optionally persists session state. This structured approach aims to reduce hallucination risk, increase transparency in multi-turn question processing, and provide a practical assistant that is auditable, cost-aware, and citation-faithful [source:RA_FSM_Paper].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
How many tiers of data sources does RA–FSM use?,"Five tiers, ranging from top journals to patents.",2.493,2.35,The context does not specify the number of tiers of data sources used by RA–FSM. I don't know.,RA–FSM uses five tiers of data sources [source:A.6].,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
What are the Tier-1 sources in the ingestion pipeline?,"IEEE Xplore, Optica/OSA, and Nature Portfolio.",2.045,2.232,"The Tier-1 sources in the ingestion pipeline are IEEE Xplore, Optica/OSA, and Nature Portfolio [source: data\RA_FSM_Paper 2.pdf].","The Tier-1 sources in the ingestion pipeline are IEEE Xplore, Optica/OSA, and Nature Portfolio [source: data\RA_FSM_Paper 2.pdf].",data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf,data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf;data\RA_FSM_Paper 2.pdf
